ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,member_casual
984F50BCBC76DD9A,classic_bike,2023-06-11 06:54:21,2023-06-11 07:12:28,W 84 St & Columbus Ave,7382.04,Amsterdam Ave & W 125 St,7800.03,member
03E3D62E7FB76B05,classic_bike,2023-06-19 15:23:11,2023-06-19 16:00:05,E 89 St & York Ave,7204.08,Mott St & Prince St,5561.04,member
8E7EE421A0B8BBF3,classic_bike,2023-06-06 16:07:05,2023-06-06 16:15:14,E 51 St & 2 Ave,6575.03,E 25 St & 1 Ave,6004.07,member
24D66A0C46493CB1,classic_bike,2023-06-26 19:52:23,2023-06-26 19:55:47,India St Pier,5794.05,Franklin St & Dupont St,5944.01,member
E944882A074B8F61,classic_bike,2023-06-05 08:57:57,2023-06-05 09:13:36,E 47 St & 2 Ave,6498.1,5 Ave & E 29 St,6248.06,member
8D042CF4B4B6520B,classic_bike,2023-06-19 16:22:39,2023-06-19 16:26:03,India St Pier,5794.05,Franklin St & Dupont St,5944.01,member
7CA2B7E412EB50D3,classic_bike,2023-06-29 13:53:16,2023-06-29 14:07:54,Henry St & Grand St,5294.04,E 10 St & 2 Ave,5746.02,member
5E8A33A43E3D7690,classic_bike,2023-06-12 18:11:36,2023-06-12 18:16:11,7 Ave & Park Pl,4125.07,1 St & 6 Ave,3946.07,member
5F47305E938C319D,classic_bike,2023-06-05 18:44:53,2023-06-05 18:58:38,E 51 St & 2 Ave,6575.03,E 10 St & 2 Ave,5746.02,member
21B21C62C315DDA8,classic_bike,2023-06-08 10:50:29,2023-06-08 12:03:56,7 Ave & Park Pl,4125.07,5 St & Market St,4843.01,member
3A26F8B1712535D6,electric_bike,2023-06-07 08:51:23,2023-06-07 09:00:30,7 Ave & Park Pl,4125.07,1 St & 6 Ave,3946.07,member
CCD27CBBE02FB4BA,electric_bike,2023-06-16 16:53:44,2023-06-16 17:01:51,E 47 St & 2 Ave,6498.1,E 25 St & 1 Ave,6004.07,member
C6FA93766C851847,classic_bike,2023-06-30 23:02:24,2023-06-30 23:09:46,Henry St & Grand St,5294.04,Mott St & Prince St,5561.04,member
BCB1C9166AE1B4A8,classic_bike,2023-06-03 18:08:51,2023-06-03 18:26:02,India St Pier,5794.05,Mott St & Prince St,5561.04,casual
81B609E861A6EBC3,classic_bike,2023-06-02 06:46:27,2023-06-02 06:52:39,27 Ave & 3 St,7132.08,31 St & Astoria Blvd,6989.07,member
7E3689122AA74EAB,classic_bike,2023-06-07 11:05:09,2023-06-07 11:22:49,E 47 St & 2 Ave,6498.1,E 10 St & 2 Ave,5746.02,casual
0291AC3D49E8A54B,classic_bike,2023-06-29 18:34:38,2023-06-29 18:55:17,E 56 St & 3 Ave,6691.11,Franklin St & Dupont St,5944.01,member
033C6DD2DFEF6A9F,classic_bike,2023-06-05 13:27:06,2023-06-05 13:35:00,49 St & 31 Ave,6662.01,44 St & Greenpoint Ave,6134.13,member
024FEF561A3A303C,classic_bike,2023-06-02 09:20:24,2023-06-02 09:32:29,FDR Drive & E 35 St,6230.04,Madison Av & E 51 St,6659.09,member
B85E768AC89644FA,classic_bike,2023-06-17 20:52:48,2023-06-17 20:55:12,8 Ave & W 24 St,6224.06,W 25 St & 9 Ave,6339.06,member
2991D86D1639A5EC,classic_bike,2023-06-02 08:04:12,2023-06-02 08:10:53,E 40 St & 5 Ave,6474.11,Madison Av & E 51 St,6659.09,member
645C15021FC5C619,classic_bike,2023-06-18 18:54:14,2023-06-18 18:56:50,8 Ave & W 24 St,6224.06,W 25 St & 9 Ave,6339.06,member
BB77F04B5F1CFA7B,classic_bike,2023-06-28 07:24:21,2023-06-28 07:26:39,8 Ave & W 24 St,6224.06,W 25 St & 9 Ave,6339.06,member
